Date,Time,Latitude,Hemisphere (N-S),Longitude,Hemisphere (E-W),Pitch,Roll,Heading,x_Acc,y_Acc,z_Acc,x_Gyro,y_Gyro,z_Gyro,Voltage
14/11/21,19:13:42,5131.8154,N,3.5865,W,1.0749,4.1535,176.2812,-0.0179,0.0696,0.9529,0.7324,0.1221,-0.3052,7.3097
14/11/21,19:13:48,5131.8145,N,3.5895,W,0.9715,4.1943,176.2801,-0.0172,0.0695,0.9534,0.8545,0.1831,-0.1831,7.3806
14/11/21,19:13:54,5131.8188,N,3.5967,W,1.0827,4.2105,176.2774,-0.0178,0.0701,0.9536,0.7324,0.1221,-0.3052,7.3806
14/11/21,19:14:0,5131.8208,N,3.5990,W,1.0330,4.1163,176.2733,-0.0175,0.0690,0.9524,0.3662,0.0610,-0.2441,7.3452
14/11/21,19:14:6,5131.8296,N,3.6063,W,1.0666,4.2278,176.2736,-0.0176,0.0697,0.9515,0.6714,0.1221,-0.1831,7.3452
14/11/21,19:14:12,5131.8340,N,3.6107,W,1.0663,4.1262,176.2695,-0.0177,0.0685,0.9532,0.8545,0.4883,-0.2441,7.4516
14/11/21,19:14:18,5131.8364,N,3.6076,W,0.9957,4.2142,176.2699,-0.0167,0.0699,0.9524,0.4272,0.0610,-0.1221,7.3806
14/11/21,19:14:24,5131.8369,N,3.6049,W,1.0536,4.1268,176.2660,-0.0177,0.0682,0.9515,0.7324,0.1221,-0.2441,7.2387
14/11/21,19:14:30,5131.8369,N,3.6026,W,0.9538,4.0837,176.2617,-0.0173,0.0686,0.9523,0.3052,0.0000,-0.3662,7.3452
14/11/21,19:14:36,5131.8359,N,3.5994,W,1.0152,4.1854,176.2624,-0.0167,0.0693,0.9524,0.8545,0.3662,-0.1221,7.3452
14/11/21,19:14:42,5131.8359,N,3.5962,W,1.0451,4.0848,176.2575,-0.0171,0.0691,0.9524,0.5493,0.0000,-0.3052,7.4161
14/11/21,19:14:48,5131.8364,N,3.5962,W,1.0093,4.1958,176.2558,-0.0171,0.0691,0.9532,0.7324,-0.0610,-0.3662,7.5226
14/11/21,19:14:54,5131.8350,N,3.6023,W,1.1102,4.1532,176.2527,-0.0175,0.0696,0.9528,0.7324,0.2441,-0.2441,7.4161
14/11/21,19:15:0,5131.8354,N,3.6022,W,1.0033,4.1742,176.2520,-0.0160,0.0696,0.9537,0.7324,0.2441,-0.1221,7.4871
14/11/21,19:15:6,5131.8350,N,3.6015,W,0.9868,4.0722,176.2470,-0.0166,0.0688,0.9557,0.6104,0.4883,-0.3662,7.4161
14/11/21,19:15:12,5131.8306,N,3.6018,W,1.0360,4.1781,176.2483,-0.0173,0.0697,0.9528,0.6714,0.2441,-0.0610,7.4516
14/11/21,19:15:18,5131.8286,N,3.5985,W,0.9785,4.0916,176.2456,-0.0168,0.0690,0.9539,0.6714,0.1221,-0.1221,7.3806
14/11/21,19:15:24,5131.8276,N,3.5948,W,1.0385,4.1946,176.2434,-0.0172,0.0697,0.9531,0.8545,0.4272,-0.4272,7.3452
14/11/21,19:15:30,5131.8267,N,3.5927,W,0.9301,4.2114,176.2437,-0.0165,0.0699,0.9525,0.5493,0.1221,0.0000,7.3452
14/11/21,19:15:36,5131.8267,N,3.5899,W,1.0277,4.1624,176.2412,-0.0176,0.0688,0.9515,0.6714,0.2441,-0.1831,7.3452
14/11/21,19:15:42,5131.8276,N,3.5868,W,1.1338,4.1360,176.2395,-0.0175,0.0693,0.9540,0.6104,0.0610,-0.1221,7.3097
