Elapsed Time (s),Long accel (g),Lat accel (g),Vert accel (g),Roll--Euler (deg),Pitch--Euler (deg),Yaw--Euler (deg),Latitude,Longitude,Speed (kts),Course (deg),GPS Time,Flagged
0.054,0.8055788,0.1121692,-0.070706,-2.191451235,41.94793426,248.8226624,50.1478761,-5.057751551,3.092186322,312.0817903,2021-11-17T13:20:20.699Z,N
0.101,0.713804,-0.0815776,-0.2950444,-1.784808242,39.59076087,248.8226624,50.1478761,-5.057751551,3.092186322,312.0817903,2021-11-17T13:20:20.747Z,N
0.151,0.6526208,-0.0815776,-0.2848472,-2.369265176,37.35623035,248.8226624,50.1478761,-5.057751551,3.092186322,312.0817903,2021-11-17T13:20:20.796Z,N
0.216,0.5506488,0.1223664,-0.0605088,-2.659081199,36.274284,248.8226624,50.1478761,-5.057751551,3.092186322,312.0817903,2021-11-17T13:20:20.861Z,N
0.251,0.4996628,0.1325636,0.3065904,-3.292452533,36.93496819,248.8226624,50.1478761,-5.057751551,3.092186322,312.0817903,2021-11-17T13:20:20.896Z,N
0.301,0.4792684,0.0611832,0.4187596,-3.499347072,37.32647463,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:20.946Z,N
0.351,0.4384796,0.050986,0.3473792,-3.803477036,37.18893853,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:20.996Z,N
0.401,0.5812404,0.1121692,0.5003372,-3.778286872,37.9227194,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.046Z,N
0.451,0.5302544,-0.0305916,0.4799428,-2.89853589,38.55573792,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.096Z,N
0.501,0.6424236,-0.101972,0.23521,-2.466902089,38.43945736,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.146Z,N
0.551,0.6730152,-0.101972,0.1434352,-1.23489072,37.51948211,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.196Z,N
0.601,0.611832,-0.1733524,0.0720548,-0.282471595,36.74226465,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.246Z,N
0.651,0.7036068,-0.1427608,0.0210688,0.842897896,35.1702454,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.296Z,N
0.711,0.4384796,-0.3161132,-0.5091856,1.434731488,32.1156653,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.356Z,N
0.751,0.6322264,-0.0611832,0.184224,2.035433067,31.13725437,247.9611816,50.14787538,-5.057756417,2.944939354,315.6016653,2021-11-17T13:20:21.396Z,N
0.801,0.4894656,-0.1631552,0.2658016,1.581330078,32.12782304,249.2894592,50.14787327,-5.057767122,3.174982139,307.4302468,2021-11-17T13:20:21.446Z,N
0.851,0.4384796,-0.1223664,0.23521,1.478779698,31.54008868,249.2894592,50.14787327,-5.057767122,3.174982139,307.4302468,2021-11-17T13:20:21.496Z,N
